,id_discente,sexo,data_nascimento,raca,estado_origem,cidade_origem,estado,municipio,bairro,nivel_ensino,forma_ingresso,ano_ingresso,periodo_ingresso,cotista,id_curso,Unnamed: 10
10859,870e35e194fb88247a61ca7ba97da9bf,M,08_02_1992,BRANCO,RIO_GRANDE_DO_NORTE,SANTANA_DO_MATOS,RIO_GRANDE_DO_NORTE,PARNAMIRIM,SANTOS_REIS,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2016,2.0,F,92127264.0,NAN
10869,699e7721f063175e671034a5071e4002,F,09_05_1989,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_NOVA,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2016,2.0,F,92127264.0,NAN
10887,201cc307db0bae923dbd07491814644e,M,11_02_1993,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,POTENGI,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2016,2.0,F,92127264.0,NAN
10899,899c090e746d17588b153c96ff4c3a85,M,29_06_1988,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,ROCAS,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2016,2.0,F,92127264.0,NAN
10919,63ef3dc914e1cf8398d15847201c3350,M,18_01_1988,BRANCO,RIO_GRANDE_DO_NORTE,CAICO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2016,2.0,F,92127264.0,NAN
10935,c0e6025213e914d12e9fc53cfa1a9fd6,M,02_10_1997,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PITIMBU,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2016,2.0,F,92127264.0,NAN
10946,463485a79675ff1ee15972da1851f6fa,M,02_01_1996,BRANCO,PERNAMBUCO,RECIFE,RIO_GRANDE_DO_NORTE,MACAIBA,MANGABEIRA,GRADUACAO,VESTIBULAR,2016,2.0,F,92127264.0,NAN
10956,5e96e8ff618fd83a990581fd3f92d8cb,M,24_11_1983,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NAN,GRADUACAO,VESTIBULAR,2016,2.0,F,92127264.0,NAN
10966,788f2192b09981ded60470a8ea382064,M,09_07_1993,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,LAGOA_SALGADA,CENTRO,GRADUACAO,VESTIBULAR,2016,2.0,F,92127264.0,NAN
10976,3af6082fa102d1e32ac5f061bddbb98c,M,09_11_1985,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,EXTREMOZ,RIO_GRANDE_DO_NORTE,EXTREMOZ,MOINHO,GRADUACAO,VESTIBULAR,2016,2.0,F,92127264.0,NAN
10986,21d7d1118fecabd38b0d66f671d9bdd7,M,19_04_1985,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,PLANALTO,GRADUACAO,VESTIBULAR,2016,2.0,F,92127264.0,NAN
10996,441c4c95c9c539566f732021fed78bed,M,18_10_1996,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,ALECRIM,GRADUACAO,VESTIBULAR,2016,2.0,F,92127264.0,NAN
11007,1fb7466b149a504ccb86c8b814f09f12,M,05_08_1998,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_AZUL,GRADUACAO,VESTIBULAR,2016,2.0,F,92127264.0,NAN
11017,db6ba4657afbb2142110e00aaf0a4feb,M,25_03_1995,BRANCO,RIO_DE_JANEIRO,BELFORD_ROXO,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_AZUL,GRADUACAO,VESTIBULAR,2016,2.0,F,92127264.0,NAN
11026,5cbcee188745b24497971f9aabbe4ea6,M,26_04_1997,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,SAO_GONCALO_DO_AMARANTE,RIO_GRANDE_DO_NORTE,SAO_GONCALO_DO_AMARANTE,MASSARANDUBA,GRADUACAO,VESTIBULAR,2016,2.0,F,92127264.0,NAN
11036,9d6b67bc2681e57fc0ba7892278bf897,M,01_08_1983,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_AZUL,GRADUACAO,VESTIBULAR,2016,2.0,F,92127264.0,NAN
11046,6de8a838aa97afbc920c26f719aeab50,M,23_07_1988,BRANCO,RIO_GRANDE_DO_NORTE,RODOLFO_FERNANDES,RIO_GRANDE_DO_NORTE,PARNAMIRIM,EMAUS,GRADUACAO,VESTIBULAR,2016,2.0,F,92127264.0,NAN
11056,65a053d4f6f96fe501fddfc25455023a,M,22_05_1995,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,ACARI,LIBERDADE,GRADUACAO,VESTIBULAR,2016,2.0,F,92127264.0,NAN
11068,40939d3d29450856e5efb4ebaf30df2b,M,13_04_1991,NEGRO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,PARQUE_DAS_NACOES,GRADUACAO,VESTIBULAR,2016,2.0,F,92127264.0,NAN
11077,a4144cd6acb7f84cb902209d464e88d6,M,16_05_1996,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,MACAIBA,BETULIA,GRADUACAO,VESTIBULAR,2016,2.0,F,92127264.0,NAN
11086,63e07836275519b471d9ddbfb19b3ded,M,15_07_1997,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PONTA_NEGRA,GRADUACAO,VESTIBULAR,2016,2.0,F,92127264.0,NAN
